Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
28,0.5,18,110.9544655,111.4545277,111.4545277,111.4545277,111.7552245,left,-18,0,0,895.0105155,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
29,0.5,18.5,113.9711599,114.4713051,114.4713051,114.4713051,114.7878162,right,18.5,1,1,894.4932184,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
30,0.5,18.5,116.472111,116.9721866,116.9721866,116.9882095,117.2866419,right,18.5,0,0,893.5088303,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
31,0.5,19,117.986438,118.4871871,118.4871871,118.4871871,118.7861387,left,-19,0,0,894.9594626,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
32,0.5,19.5,120.9516785,121.4529807,121.4529807,121.4529807,,left,-19.5,0,0,892.601032,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
33,0.5,20,121.569174,122.0693616,122.0693616,122.0693616,,left,-20,0,0,892.7774906,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
34,0.5,20,122.3517364,122.8514466,122.8514466,122.8514466,,right,20,1,1,892.7754472,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
35,0.5,20,123.1355697,123.6371522,123.6371522,123.6371522,123.9524059,left,-20,0,0,892.8604178,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
36,0.5,20,124.0032588,124.5013295,124.5013295,124.5013295,124.8013685,left,-20,1,1,894.1184016,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
37,0.5,20,126.1347684,126.6364505,126.6364505,126.6364505,126.9518059,left,-20,0,0,893.0594555,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
38,0.5,20,127.2018053,127.7014802,127.7014802,127.7014802,128.0009044,left,-20,0,0,894.8032933,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
39,0.5,20,130.0174018,130.5171498,130.5171498,130.5171498,,right,20,1,1,892.5278758,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
40,0.5,20,130.5503579,131.0501423,131.0501423,131.0501423,131.3497424,left,-20,1,1,898.3229658,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
41,0.5,20,136.8824432,137.3826797,137.3826797,137.3994357,,right,20,1,1,892.6086605,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
42,0.5,19.5,137.4983378,137.9990175,137.9990175,137.9990175,138.2979273,right,19.5,1,1,893.3940867,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
43,0.5,19.5,138.8979542,139.3983692,139.3983692,139.3983692,139.6977569,right,19.5,1,1,893.3991652,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
44,0.5,19.5,140.314245,140.8144372,140.8144372,140.8144372,,right,19.5,1,1,892.7444278,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
45,0.5,19,141.0646541,141.5638739,141.5638739,141.5638739,141.8640449,left,-19,0,0,894.3607919,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
46,0.5,19.5,143.4309092,143.9310577,143.9310577,143.9310577,144.230408,left,-19.5,0,0,893.0599289,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
47,0.5,20,144.497423,144.9967552,144.9967552,144.9967552,145.2962437,right,20,1,1,892.8445119,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
48,0.5,20,145.3473804,145.8468606,145.8468606,145.8468606,,right,20,1,1,892.6103181,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
49,0.5,20,145.9634381,146.4636533,146.4636533,146.4636533,,right,20,1,1,892.525064,972024,1,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.0808087
