84.5652 	DATA 	Keypress: right
84.5774 	EXP 	fixation: autoDraw = False
84.5774 	EXP 	grating: autoDraw = False
84.5774 	EXP 	grating: ori = 0.0
84.5774 	EXP 	fixation: autoDraw = True
85.0779 	EXP 	fixation: autoDraw = False
85.0779 	EXP 	grating: autoDraw = True
85.2807 	DATA 	Keypress: right
85.3775 	EXP 	grating: autoDraw = False
90.2138 	DATA 	Keypress: right
90.2268 	EXP 	fixation: autoDraw = False
90.2268 	EXP 	grating: autoDraw = False
90.2268 	EXP 	grating: ori = 0.0
90.2268 	EXP 	fixation: autoDraw = True
90.7266 	EXP 	fixation: autoDraw = False
90.7266 	EXP 	grating: autoDraw = True
90.7641 	DATA 	Keypress: right
90.7763 	EXP 	fixation: autoDraw = False
90.7763 	EXP 	grating: autoDraw = False
90.7763 	EXP 	grating: ori = 0.0
90.7763 	EXP 	fixation: autoDraw = True
91.2771 	EXP 	fixation: autoDraw = False
91.2771 	EXP 	grating: autoDraw = True
91.3294 	DATA 	Keypress: right
91.3602 	EXP 	fixation: autoDraw = False
91.3602 	EXP 	grating: autoDraw = False
91.3602 	EXP 	grating: ori = 0.0
91.3602 	EXP 	fixation: autoDraw = True
91.8591 	EXP 	fixation: autoDraw = False
91.8591 	EXP 	grating: autoDraw = True
91.8627 	DATA 	Keypress: right
92.1590 	EXP 	grating: autoDraw = False
92.2800 	DATA 	Keypress: right
92.2923 	EXP 	fixation: autoDraw = False
92.2923 	EXP 	grating: autoDraw = False
92.2923 	EXP 	grating: ori = 0.0
92.2923 	EXP 	fixation: autoDraw = True
92.5796 	DATA 	Keypress: right
92.7926 	EXP 	fixation: autoDraw = False
92.7926 	EXP 	grating: autoDraw = True
92.9298 	DATA 	Keypress: right
93.0925 	EXP 	grating: autoDraw = False
93.6285 	DATA 	Keypress: right
94.5292 	DATA 	Keypress: right
94.5417 	EXP 	fixation: autoDraw = False
94.5417 	EXP 	grating: autoDraw = False
94.5417 	EXP 	grating: ori = 0.0
94.5417 	EXP 	fixation: autoDraw = True
95.0425 	EXP 	fixation: autoDraw = False
95.0425 	EXP 	grating: autoDraw = True
95.3421 	EXP 	grating: autoDraw = False
95.6459 	DATA 	Keypress: left
95.6579 	EXP 	fixation: autoDraw = False
95.6579 	EXP 	grating: autoDraw = False
95.6579 	EXP 	grating: ori = 0.0
95.6579 	EXP 	fixation: autoDraw = True
96.1588 	EXP 	fixation: autoDraw = False
96.1588 	EXP 	grating: autoDraw = True
96.4444 	DATA 	Keypress: right
96.4583 	EXP 	grating: autoDraw = False
97.3285 	DATA 	Keypress: left
97.3418 	EXP 	fixation: autoDraw = False
97.3418 	EXP 	grating: autoDraw = False
97.3418 	EXP 	grating: ori = 0.0
97.3418 	EXP 	fixation: autoDraw = True
97.7447 	DATA 	Keypress: left
97.8415 	EXP 	fixation: autoDraw = False
97.8415 	EXP 	grating: autoDraw = True
98.1415 	EXP 	grating: autoDraw = False
98.1946 	DATA 	Keypress: left
98.2086 	EXP 	fixation: autoDraw = False
98.2086 	EXP 	grating: autoDraw = False
98.2086 	EXP 	grating: ori = 0.0
98.2086 	EXP 	fixation: autoDraw = True
98.7077 	EXP 	fixation: autoDraw = False
98.7077 	EXP 	grating: autoDraw = True
99.0073 	EXP 	grating: autoDraw = False
99.1110 	DATA 	Keypress: right
99.9107 	DATA 	Keypress: left
99.9247 	EXP 	fixation: autoDraw = False
99.9247 	EXP 	grating: autoDraw = False
99.9247 	EXP 	grating: ori = 0.0
99.9247 	EXP 	fixation: autoDraw = True
100.4242 	EXP 	fixation: autoDraw = False
100.4242 	EXP 	grating: autoDraw = True
100.4268 	DATA 	Keypress: left
100.7246 	EXP 	grating: autoDraw = False
101.0432 	DATA 	Keypress: left
102.1110 	DATA 	Keypress: right
102.1237 	EXP 	fixation: autoDraw = False
102.1237 	EXP 	grating: autoDraw = False
102.1237 	EXP 	grating: ori = 0.0
102.1237 	EXP 	fixation: autoDraw = True
102.6093 	DATA 	Keypress: right
102.6243 	EXP 	fixation: autoDraw = False
102.6243 	EXP 	grating: autoDraw = True
102.9397 	EXP 	grating: autoDraw = False
103.2761 	DATA 	Keypress: left
103.2907 	EXP 	fixation: autoDraw = False
103.2907 	EXP 	grating: autoDraw = False
103.2907 	EXP 	grating: ori = 0.0
103.2907 	EXP 	fixation: autoDraw = True
103.7901 	EXP 	fixation: autoDraw = False
103.7901 	EXP 	grating: autoDraw = True
104.0898 	EXP 	grating: autoDraw = False
104.4927 	DATA 	Keypress: left
104.5061 	EXP 	fixation: autoDraw = False
104.5061 	EXP 	grating: autoDraw = False
